1,isbn,author,tag_author,name,publisher,city,type_of_printing,printing,publ_date,year_of_w,language,type,cover,read,series,condition,inscription,format,pages,from
833,5-289-00949-3,Агата Кристи,Кристи,Смерть в облаках. День поминовения. Пять поросят.,Лениздат,Ленинград,Основной,300000,1991,,русский,сборник романов,твёрдая,TRUE,,normal - old,,84*108(1/32),560,была
834,,Валентин Пикуль,Пикуль,Под шелест знамен,Советский писатель,Ленинград,Основной,200000,1989,,русский,сборник романов,твёрдая,FALSE,,medium - old,,84*108(1/32),496,была
835,,Алексей Югов,Югов,Ратоборцы,Лениздат,Ленинград,Основной,700000,1983,,русский,сборник романов,твёрдая,FALSE,,good - old,,84*108(1/32),478,была
836,,Морис Дрюон,Дрюон,Французская волчица. Лилия и лев.,Лениздат,Ленинград,Основной,1500000,1982,,русский,сборник романов,твёрдая,FALSE,,normal - old,,84*108(1/32),591,была
837,,Морис Дрюон,Дрюон,Яд и корона. Негоже лилиям прясть.,Лениздат,Ленинград,Основной,1500000,1981,,русский,сборник романов,твёрдая,FALSE,,normal - old,,84*108(1/32),432,была
838,,Морис Дрюон,Дрюон,Железный король. Узница Шато-Гайара.,Художественная литература,Москва,Основной,1800000,1981,,русский,сборник романов,твёрдая,FALSE,,good - old,,84*108(1/32),493,была
839,,Стефан Цвейг,Цвейг,Нетерпение сердца,Правда,Москва,Основной,500000,1981,,русский,сборник романов,твёрдая,FALSE,,normal - old,,84*108(1/32),416,была
840,5-86456-001-4,Агата Кристи,Кристи,Убить легко,Нива,Ленинград,Основной,100000,1991,,русский,сборник романов,твёрдая,TRUE,,medium - old,,84*108(1/32),361,была
841,5-88366-004-5,Агата Кристи,Кристи,Собрание сочинений в 25 томах. 2 том. ,"Редакция журнала ""Бестселлер""",Минск,Основной,100000,1992,,русский,собрание сочинений,твёрдая,TRUE,,normal - old,,60*84(1/16),416,была
842,5-203-01523-6,Валентин Пикуль,Пикуль,Полное собрание сочинений в 30 томах. Том 1.,Военное издательство,Москва,Основной,300000,1992,,русский,собрание сочинений,твёрдая,FALSE,Собрание сочинений Валентина Пикуля,medium - old,,84*108(1/32),557,была
843,5-203-01524-4,Валентин Пикуль,Пикуль,Полное собрание сочинений в 30 томах. Том 2.,Военное издательство,Москва,Основной,300000,1992,,русский,собрание сочинений,твёрдая,FALSE,Собрание сочинений Валентина Пикуля,medium - old,,84*108(1/32),512,была
844,5-7030-0605-8,Валентин Пикуль,Пикуль,Полное собрание сочинений в 30 томах. Том 3.,Патриот,Москва,Основной,300000,1992,,русский,собрание сочинений,твёрдая,FALSE,Собрание сочинений Валентина Пикуля,normal - old,,84*108(1/32),544,была
845,5-270-01932-9,Валентин Пикуль,Пикуль,Полное собрание сочинений в 30 томах. Том 8.,Современник,Москва,Основной,108000,1995,,русский,собрание сочинений,твёрдая,FALSE,Собрание сочинений Валентина Пикуля,medium - old,,84*108(1/32),430,была
846,5-7030-0653-8,Валентин Пикуль,Пикуль,Полное собрание сочинений в 30 томах. Том 9.,Патриот,Москва,Основной,300000,1993,,русский,собрание сочинений,твёрдая,FALSE,Собрание сочинений Валентина Пикуля,normal - old,,84*108(1/32),560,была
847,5-203-01603-8,Валентин Пикуль,Пикуль,Полное собрание сочинений в 30 томах. Том 10.,Военное издательство,Москва,Дополнительный,30000,1994,,русский,собрание сочинений,твёрдая,FALSE,Собрание сочинений Валентина Пикуля,normal - old,,84*108(1/32),524,была
848,5-270-01814-4,Валентин Пикуль,Пикуль,Полное собрание сочинений в 30 томах. Том 13.,Современник,Москва,Основной,100000,1994,,русский,собрание сочинений,твёрдая,FALSE,Собрание сочинений Валентина Пикуля,good - old,,84*108(1/32),461,была
849,5-270-01942-6,Валентин Пикуль,Пикуль,Полное собрание сочинений в 30 томах. Том 15.,Современник,Москва,Основной,50000,1995,,русский,собрание сочинений,твёрдая,FALSE,Собрание сочинений Валентина Пикуля,good - old,,84*108(1/32),301,была
850,5-270-01943-4,Валентин Пикуль,Пикуль,Полное собрание сочинений в 30 томах. Том 16.,Современник,Москва,Основной,55000,1995,,русский,собрание сочинений,твёрдая,FALSE,Собрание сочинений Валентина Пикуля,good - old,,84*108(1/32),448,была
851,5-270-01841-1,Валентин Пикуль,Пикуль,Полное собрание сочинений в 30 томах. Том 17.,Современник,Москва,Основной,100000,1994,,русский,собрание сочинений,твёрдая,FALSE,Собрание сочинений Валентина Пикуля,normal - old,,84*108(1/32),400,была
852,5-203-01628-3,Валентин Пикуль,Пикуль,Полное собрание сочинений в 30 томах. Том 18.,Военное издательство,Москва,Дополнительный,70000,1995,,русский,собрание сочинений,твёрдая,FALSE,Собрание сочинений Валентина Пикуля,good - old,,84*108(1/32),623,была
853,5-203-01629-1,Валентин Пикуль,Пикуль,Полное собрание сочинений в 30 томах. Том 19.,Военное издательство,Москва,Дополнительный,70000,1995,,русский,собрание сочинений,твёрдая,FALSE,Собрание сочинений Валентина Пикуля,normal - old,,84*108(1/32),621,была
854,5-270-01704-0,Валентин Пикуль,Пикуль,Полное собрание сочинений в 30 томах. Том 20.,Современник,Москва,Основной,100000,1993,,русский,собрание сочинений,твёрдая,FALSE,Собрание сочинений Валентина Пикуля,normal - old,,84*108(1/32),464,была
855,5-7985-0002-0,Франсуаза Саган. Джеймс Хедли Чейз. Росс Макдональд.,,Ангел-хранитель. Саван для свидетелей. Обрекаю на смерть.,Gart,Таллинн,Основной,250000,1991,,русский,сборник романов,твёрдая,FALSE,,normal - old,,84*108(1/32),528,была
856,5-7985-0019-5,Борис Виан. Росс Макдональд. Алистер Маклин.,,Уничтожим всех уродов. Испытание злом. Дорога в ад.,Gart,Таллинн,Основной,500000,1991,,русский,сборник романов,твёрдая,FALSE,,normal - old,,84*108(1/32),480,была
857,5-7985-0019-5,Алистер Маклин. Микки Спиллейн. Сан-Антонио.,,Когда бьёт восемь склянок. Кровавый рассвет. Можно любить и лысых. ,Gart,Таллинн,Основной,500000,1992,,русский,сборник романов,твёрдая,TRUE,,normal - old,,84*108(1/32),480,была
858,5-7815-1629-8,Джон Гришэм,Гришэм,Фирма,Белфакс,Минск,Основной,100000,1993,,русский,роман,твёрдая,TRUE,,normal - old,,84*108(1/32),448,была
859,5-7985-0004-7,Алистер Маклин,Маклин,Ураган с острова Наварон,Gart,Таллинн,Основной,500000,1991,,русский,сборник романов,твёрдая,FALSE,,normal - old,,84*108(1/32),432,была
860,5-86830-025-4,Р.Стаут. П.Гейцман,,"Окончательное решение. Смертоносный груз ""Гильдеборг"".",Испакт,Рига,Основной,250000,1992,,русский,сборник романов,твёрдая,TRUE,Детективы века,normal - old,,84*108(1/32),384,была
861,5-86830-043-2,Дик Френсис. Кеннер Миллар. С.-П.Доннел.,,Кураж. В родном городе. Рецепт убийства.,Испакт,Рига,Основной,250000,1991,,русский,сборник романов,твёрдая,FALSE,Детективы века,normal - old,,84*108(1/32),333,была
862,5-86830-024-6,Эллери Квин. Росс Макдональд.,,Тайна больничных туфель. Следы ведут в Эль Ранчо.,Испакт,Рига,Основной,250000,1992,,русский,сборник романов,твёрдая,TRUE,Детективы века,normal - old,,84*108(1/32),368,была
863,5-640-01144-0,Рекс Стаут. Сидней Шелдон. Этель Лилиан Уайт.,,Звонок в дверь. Лицо без маски. Винтовая лестница. ,Узбекистон,Ташкент,Основной,200000,1992,,русский,сборник романов,твёрдая,TRUE,Зарубежный детектив. Век XX.,medium - old,,84*108(1/32),398,была
864,5-7855-0704-8,Росс Макдональд,Макдональд,Двойник мертвеца,Университетское,Минск,Основной,150000,1993,,русский,сборник романов,твёрдая,TRUE,,medium - old,,84*108(1/32),448,была
865,5-7794-0121-7,Мишель Кричтон,Крайтон,Сфера,ADA,Москва,Основной,100000,1993,1987,русский,роман,твёрдая,TRUE,,normal - old,,84*108(1/32),352,была
866,5-250-01717-7,Рекс Стаут. Реймонд Чандлер. Эд Макбейн.,,Слишком много женщин. Высокое окно. До самой смерти. ,Издательство политической литературы,Москва,Основной,150000,1991,,русский,сборник романов,твёрдая,TRUE,,medium - old,Дорогому Эдюше,84*108(1/32),543,была
867,5-7794-0757-6,Росс Макдональд,Макдональд,"Убей, красавица",Крок-центр,Москва,Основной,150000,1993,,русский,сборник романов,твёрдая,TRUE,,medium - old,,84*108(1/32),480,была
868,5-253-00203-0,Агата Кристи,Кристи,Восточный экспресс,Правда,Москва,Основной,3100000,1991,,русский,сборник романов,твёрдая,TRUE,,medium - old,,84*108(1/32),704,была
869,5-900328-01-5,А.Баантьер. А.Беркхоф. Х.ван Эмландт,,Убийство в купе экспресса. Трактир у озера. Коварный лёд.,Ветеран МП,Москва,Основной,200000,1992,,русский,сборник романов,твёрдая,FALSE,Нидерландский и бельгийский детектив,good - old,,84*108(1/32),448,была
870,5-85075-023-1,Джеймс Хэдли Чейз,Чейз,Мёртвая яхта,Норд,Москва,Основной,300000,1993,,русский,сборник романов,твёрдая,TRUE,Библиотека авантюрного и фантастического романа,normal - old,,60*84(1/16),352,была
871,5-338-00815-7,Джеймс Хэдли Чейз,Чейз,"Мёрвые молчат. Дело о наезде. ""Ты только отыщи его"". Весна в Париже.",Беларусь,Минск,Дополнительный,110000,1991,,русский,сборник романов,твёрдая,TRUE,"Серия детективов ""Версия""",normal - old,,84*108(1/32),685,была
872,5-85872-128-1,Джеймс Хэдли Чейз,Чейз,Собрание сочинений в семи томах. Том 1.,Эридан,Минск-Санкт-Петербург,Основной,200000,1993,,русский,собрание сочинений,твёрдая,TRUE,Собрание сочинений Джеймса Хэдли Чейза,medium - old,,84*108(1/32),448,была
873,5-85872-022-6,Джеймс Хэдли Чейз,Чейз,Собрание сочинений в семи томах. Том 2.,Эридан,Минск,Дополнительный,100000,1992,,русский,собрание сочинений,твёрдая,TRUE,Собрание сочинений Джеймса Хэдли Чейза,medium - old,,84*108(1/32),432,была
874,5-85872-023-4,Джеймс Хэдли Чейз,Чейз,Собрание сочинений в семи томах. Том 3.,Эридан-Университетское,Минск,Основной,200000,1992,,русский,собрание сочинений,твёрдая,TRUE,Собрание сочинений Джеймса Хэдли Чейза,medium - old,,84*108(1/32),432,была
875,5-85872-118-4,Джеймс Хэдли Чейз,Чейз,Собрание сочинений. Том 4.,Эридан,Минск,Основной,100000,1993,,русский,собрание сочинений,твёрдая,TRUE,Собрание сочинений Джеймса Хэдли Чейза,medium - old,,84*108(1/32),383,была
876,5-85872-041-2,Джеймс Хэдли Чейз,Чейз,Собрание сочинений в семи томах. Том 5.,Эридан,Минск,Основной,1200000,1992,,русский,собрание сочинений,твёрдая,TRUE,Собрание сочинений Джеймса Хэдли Чейза,medium - old,,84*108(1/32),480,была
877,5-85872-079-Х,Джеймс Хэдли Чейз,Чейз,Собрание сочинений в семи томах. Том 9. (дополнит.),Эридан,Минск,Основной,400000,1992,,русский,собрание сочинений,твёрдая,TRUE,Собрание сочинений Джеймса Хэдли Чейза,medium - old,,84*108(1/32),560,была
878,5-85872-129-Х,Джеймс Хэдли Чейз,Чейз,Собрание сочинений в семи томах. Том 11. (дополнит.),Эридан,Минск,Основной,400000,1993,,русский,собрание сочинений,твёрдая,TRUE,Собрание сочинений Джеймса Хэдли Чейза,medium - old,,84*108(1/32),384,была
879,5-85872-130-Х,Джеймс Хэдли Чейз,Чейз,Собрание сочинений. Том 12.,Эридан,Минск,Основной,400000,1993,,русский,собрание сочинений,твёрдая,TRUE,Собрание сочинений Джеймса Хэдли Чейза,medium - old,,84*108(1/32),480,была
880,5-85872-131-1,Джеймс Хэдли Чейз,Чейз,Собрание сочинений. Том 13.,Эридан,Минск,Основной,400000,1993,,русский,собрание сочинений,твёрдая,TRUE,Собрание сочинений Джеймса Хэдли Чейза,medium - old,,84*108(1/32),431,была
881,5-85872-133-8,Джеймс Хэдли Чейз,Чейз,Собрание сочинений. Том 14.,Эридан,Минск,Основной,400000,1993,,русский,собрание сочинений,твёрдая,TRUE,Собрание сочинений Джеймса Хэдли Чейза,medium - old,,84*108(1/32),480,была
882,5-85872-135-4,Джеймс Хэдли Чейз,Чейз,Собрание сочинений. Том 16.,Эридан,Минск,Основной,100000,1993,,русский,собрание сочинений,твёрдая,TRUE,Собрание сочинений Джеймса Хэдли Чейза,medium - old,,84*108(1/32),432,была
